SYMBOL,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN
INFRATEL,EQ,335,338,334.5,336.05,336,334,2881187,968058827.2,18-APR-2018,18442,INE121J01017
INFY,EQ,1122.85,1134.75,1113.85,1125.95,1125.95,1125.2,5215190,5863305787.1,18-APR-2018,121114,INE009A01021
IOC,EQ,167.5,167.6,164.5,164.95,165.2,167.2,5236513,866034904.65,18-APR-2018,40042,INE242A01010
IRB,EQ,261,267.25,254.3,255.4,255.5,257.3,6343221,1654090719.6,18-APR-2018,40390,INE821I01014
ITC,EQ,268.7,278.9,268,275.35,276.5,267.6,23815794,6560787576.7,18-APR-2018,157457,INE154A01025
IBULHSGFIN,EQ,1374.9,1382.25,1361.45,1367.55,1367,1369.6,553371,758361425.1,19-APR-2018,29368,INE148I01020
ICICIBANK,EQ,291,291,287.3,289.6,290.65,290.05,17282341,4994030572,19-APR-2018,80507,INE090A01021
ICICIPRULI,EQ,383.15,385.25,379.3,379.85,380.15,381.9,1221888,466030769.55,19-APR-2018,20255,INE726G01019
IDBI,EQ,70.5,70.7,69.5,70.05,70.05,69.95,8120537,569439875.45,19-APR-2018,13758,INE008A01015
IDEA,EQ,71.95,72,70.1,70.95,71.15,71.5,13250703,937749723.75,19-APR-2018,41540,INE669E01016
IDFC,EQ,53.1,54,52.75,53.75,53.6,53.2,2522463,135236752.65,19-APR-2018,6911,INE043D01016
IDFCBANK,EQ,49.5,49.55,49.1,49.35,49.35,49.45,2572108,126850772.5,19-APR-2018,10204,INE092T01019
IGL,EQ,293.1,297.4,291.3,294.8,294.65,293.05,730961,215228017.65,19-APR-2018,10479,INE203G01027
INDIACEM,EQ,150.6,155.45,150.6,154,153.85,149.65,3756977,577685041.95,19-APR-2018,21655,INE383A01012
INDIANB,EQ,305.85,313,305.3,311.3,311.35,306.75,1005318,310290755.05,19-APR-2018,12686,INE562A01011
INDIGO,EQ,1465.75,1492,1454.2,1486.7,1485.25,1474.65,1509072,2213647299.1,19-APR-2018,57160,INE646L01027
INDUSINDBK,EQ,1853,1868.95,1802.35,1832.95,1835,1843.6,2259972,4131702823.85,19-APR-2018,72179,INE095A01012
INFIBEAM,EQ,171,171.5,168.75,170.25,170,169.65,3845393,655002130.45,19-APR-2018,58937,INE483S01020
INFRATEL,EQ,337,338.6,334.4,335.95,335.35,336.05,2579826,867079396.25,19-APR-2018,39919,INE121J01017
INFY,EQ,1124,1139.8,1123.1,1132.85,1133.4,1125.95,4262771,4828035903.7,19-APR-2018,119470,INE009A01021
IOC,EQ,161,161.95,157,157.95,158.2,164.95,16984152,2700566495.55,19-APR-2018,122870,INE242A01010
IRB,EQ,257.3,265,255.3,263.9,263.5,255.4,4792998,1253453792.6,19-APR-2018,33903,INE821I01014
ITC,EQ,277.25,280,275.25,277.35,277,275.35,12823460,3554398832.1,19-APR-2018,96479,INE154A01025
